Authors,Year,Title,Journal,PMID,PMCID
"Joyce AR, Reed JL, White A, Edwards R, Osterman A, Baba T, Mori H, Lesely SA, Palsson BO, Agarwalla S",2006,Experimental and computational assessment of conditionally essential genes in Escherichia coli.,J Bacteriol 188(23);8259-71,17012394,PMC1698209
"Hanson RL, Rose C",1979,Genetic mapping of a mutation affecting pyridine nucleotide transhydrogenase in Escherichia coli.,J Bacteriol 138(3);783-7,378938,PMC218105
"Meuller J, Rydstrom J",1999,The membrane topology of proton-pumping Escherichia coli transhydrogenase determined by cysteine labeling.,J Biol Chem 274(27);19072-80,10383409,
"Ahmad S, Glavas NA, Bragg PD",1992,A mutation at Gly314 of the beta subunit of the Escherichia coli pyridine nucleotide transhydrogenase abolishes activity and affects the NADP(H)-induced conformational change.,Eur J Biochem 207(2);733-9,1633824,
Hanson RL,1979,The kinetic mechanism of pyridine nucleotide transhydrogenase from Escherichia coli.,J Biol Chem 254(3);888-93,368063,
"Bizouarn T, Althage M, Pedersen A, Tigerstrom A, Karlsson J, Johansson C, Rydstrom J",2002,The organization of the membrane domain and its interaction with the NADP(H)-binding site in proton-translocating transhydrogenase from E. coli.,Biochim Biophys Acta 1555(1-3);122-7,12206903,
"Goodall ECA, Robinson A, Johnston IG, Jabbari S, Turner KA, Cunningham AF, Lund PA, Cole JA, Henderson IR",2018,The Essential Genome of  Escherichia coli K-12.,MBio 9(1),29463657,PMC5821084
"Sweetman AJ, Griffiths DE",1971,Studies on energy-linked reactions. Energy-linked transhydrogenase reaction in Escherichia coli.,Biochem J 121(1);125-30,4398957,PMC1176494
"Meuller J, Mjorn K, Karlsson J, Tigerstrom A, Rydstrom J, Hou C, Bragg PD",2001,Properties of a proton-translocating nicotinamide nucleotide transhydrogenase from Escherichia coli with alpha and beta subunits linked through fused transmembrane helices.,Biochim Biophys Acta 1506(3);163-71,11779549,
"Hoek JB, Rydstrom J, Hojeberg B",1974,Comparative studies on nicotinamide nucleotide transhydrogenase from different sources.,Biochim Biophys Acta 333(2);237-45,19400036,
"Kabus A, Georgi T, Wendisch VF, Bott M",2007,Expression of the Escherichia coli pntAB genes encoding a membrane-bound transhydrogenase in Corynebacterium glutamicum improves L-lysine formation.,Appl Microbiol Biotechnol 75(1);47-53,17216441,
"van Boxel GI, Quirk PG, Cotton NP, White SA, Jackson JB",2003,Glutamine 132 in the NAD(H)-binding component of proton-translocating transhydrogenase tethers the nucleotides before hydride transfer.,Biochemistry 42(5);1217-26,12564924,
"Veronesi G, Whitehead SJ, Francia F, Giachini L, Boscherini F, Venturoli G, Cotton NP, Jackson JB",2010,X-ray absorption studies of Zn(2+)-binding sites in Escherichia coli transhydrogenase and its betaH91K mutant.,Biochim Biophys Acta 1797(4);494-500,20080075,
"Bragg PD, Glavas NA, Hou C",1997,Mutation of conserved residues in the NADP(H)-binding domain of the proton translocating pyridine nucleotide transhydrogenase of Escherichia coli.,Arch Biochem Biophys 338(1);57-66,9015388,
"Weinert BT, Scholz C, Wagner SA, Iesmantavicius V, Su D, Daniel JA, Choudhary C",2013,Lysine succinylation is a frequently occurring modification in prokaryotes and eukaryotes and extensively overlaps with acetylation.,Cell Rep 4(4);842-51,23954790,
"Bizouarn T, Fjellstrom O, Meuller J, Axelsson M, Bergkvist A, Johansson C, Goran Karlsson B, Rydstrom J",2000,Proton translocating nicotinamide nucleotide transhydrogenase from E. coli. Mechanism of action deduced from its structural and catalytic properties.,Biochim Biophys Acta 1457(3);211-28,10773166,
"Anderlund M, Nissen TL, Nielsen J, Villadsen J, Rydstrom J, Hahn-Hagerdal B, Kielland-Brandt MC",1999,"Expression of the Escherichia coli pntA and pntB genes, encoding nicotinamide nucleotide transhydrogenase, in Saccharomyces cerevisiae and its effect on product formation during anaerobic glucose fermentation.",Appl Environ Microbiol 65(6);2333-40,10347010,PMC91345
"Liang A, Houghton RL",1980,Structural aspects of the membrane-bound Escherichia colipyridine nucleotide transhydrogenase (EC 1.6.1.1).,FEBS Lett 109(2);185-8,6986284,
"Althage M, Karlsson J, Gourdon P, Levin M, Bill RM, Tigerstrom A, Rydstrom J",2003,Functional split and crosslinking of the membrane domain of the beta subunit of proton-translocating transhydrogenase from Escherichia coli.,Biochemistry 42(37);10998-1003,12974635,
"Weinert BT, Iesmantavicius V, Wagner SA, Scholz C, Gummesson B, Beli P, Nystrom T, Choudhary C",2013,Acetyl-phosphate is a critical determinant of lysine acetylation in E. coli.,Mol Cell 51(2);265-72,23830618,
"Sweetman AJ, Griffiths DE",1971,Studies on energy-linked reactions. Energy-linked reduction of oxidized nicotinamide-adenine dinucleotide by succinate in Escherichia coli.,Biochem J 121(1);117-24,4107303,PMC1176493
"Olausson T, Hultman T, Holmberg E, Rydstrom J, Ahmad S, Glavas NA, Bragg PD",1993,Site-directed mutagenesis of tyrosine residues at nicotinamide nucleotide binding sites of Escherichia coli transhydrogenase.,Biochemistry 32(48);13237-44,8241179,
"Huerta AM, Collado-Vides J",2003,Sigma70 promoters in Escherichia coli: specific transcription in dense regions of overlapping promoter-like signals.,J Mol Biol 333(2);261-78,14529615,
"Karlsson J, Althage M, Rydstrom J",2003,Roles of individual amino acids in helix 14 of the membrane domain of proton-translocating transhydrogenase from Escherichia coli as deduced from cysteine mutagenesis.,Biochemistry 42(21);6575-81,12767241,
"Fjellstrom O, Olausson T, Hu X, Kallebring B, Ahmad S, Bragg PD, Rydstrom J",1995,Three-dimensional structure prediction of the NAD binding site of proton-pumping transhydrogenase from Escherichia coli.,Proteins 21(2);91-104,7777492,
